;SVR;HYBRID;ARIMA;MOEX;;0;0;0;0;;;;;;;
66;0,330020299;0,3556327;0,358921335;2759,12;66;0,330020299;0,3556327;0,358921335;2759,12;-0,00093059;-0,00093059;-0,00093059;;;;
67;0,337660416;0,363272817;0,366561452;2780,2;67;0,337660416;0,363272817;0,366561452;2780,2;0,007640117;0,007640117;0,007640117;;;;
68;0,344483666;0,370096068;0,373384703;2761,23;68;0,344483666;0,370096068;0,373384703;2761,23;0,00682325;0,00682325;0,00682325;;;;
69;0,34499793;0,370610331;0,373898966;2762,65;69;0,34499793;0,370610331;0,373898966;2762,65;0,000514264;0,000514264;0,000514264;;;;
70;0,348143461;0,373755862;0,377044497;2753,96;70;0,348143461;0,373755862;0,377044497;2753,96;0,003145531;0,003145531;0,003145531;;;;
71;0,355834204;0,381446605;0,38473524;2775,14;71;0,355834204;0,381446605;0,38473524;2775,14;0,007690744;0,007690744;0,007690744;;;;
72;0,357462951;0,383075352;0,386363987;2779,66;72;0,357462951;0,383075352;0,386363987;2779,66;0,001628747;0,001628747;0,001628747;;;;
73;0,362431184;0,388043585;0,39133222;2765,85;73;0,362431184;0,388043585;0,39133222;2765,85;0,004968234;0,004968234;0,004968234;;;;
74;0,375309685;0,400922086;0,404210721;2801,47;74;0,375309685;0,400922086;0,404210721;2801,47;0,0128785;0,0128785;0,0128785;;;;
75;0,372332676;0,403899094;0,407187729;2809,81;75;0,372332676;0,403899094;0,407187729;2809,81;-0,002977008;0,002977008;0,002977008;;;;
76;0,377365045;0,408931463;0,412220098;2823,95;76;0,377365045;0,408931463;0,412220098;2823,95;0,005032369;0,005032369;0,005032369;;;;
77;0,38403301;0,415599428;0,418888063;2842,78;77;0,38403301;0,415599428;0,418888063;2842,78;0,006667965;0,006667965;0,006667965;;;;
78;0,386646649;0,418213067;0,421501702;2835,35;78;0,386646649;0,418213067;0,421501702;2835,35;0,002613639;0,002613639;0,002613639;;;;
79;0,391161083;0,422727501;0,426016136;2822,55;79;0,391161083;0,422727501;0,426016136;2822,55;0,004514434;0,004514434;0,004514434;;;;
80;0,391200054;0,422766472;0,426055107;2822,66;80;0,391200054;0,422766472;0,426055107;2822,66;3,89719E-05;3,89719E-05;3,89719E-05;;;;
81;0,39116817;0,422734588;0,426023223;2822,75;81;0,39116817;0,422734588;0,426023223;2822,75;-3,18848E-05;-3,18848E-05;-3,18848E-05;;;;
82;0,40289078;0,434457199;0,437745834;2789,66;82;0,40289078;0,434457199;0,437745834;2789,66;0,011722611;0,011722611;0,011722611;;;;
83;0,407221057;0,438787475;0,44207611;2777,58;83;0,407221057;0,438787475;0,44207611;2777,58;0,004330277;0,004330277;0,004330277;;;;
84;0,414831999;0,446398417;0,449687052;2756,44;84;0,414831999;0,446398417;0,449687052;2756,44;0,007610942;0,007610942;0,007610942;;;;
85;0,41503516;0,446601578;0,449890213;2755,88;85;0,41503516;0,446601578;0,449890213;2755,88;0,000203161;0,000203161;0,000203161;;;;
86;0,430532932;0,46209935;0,465387985;2713,17;86;0,430532932;0,46209935;0,465387985;2713,17;0,015497772;0,015497772;0,015497772;;;;
87;0,434432429;0,465998848;0,469287483;2702,59;87;0,434432429;0,465998848;0,469287483;2702,59;0,003899498;0,003899498;0,003899498;;;;
88;0,433684998;0,466746279;0,468540051;2700,57;88;0,433684998;0,466746279;0,468540051;2700,57;-0,000747431;0,000747431;-0,000747431;;;;
89;0,439728167;0,472789447;0,47458322;2684,25;89;0,439728167;0,472789447;0,47458322;2684,25;0,006043169;0,006043169;0,006043169;;;;
90;0,445990624;0,479051904;0,480845677;2701,06;90;0,445990624;0,479051904;0,480845677;2701,06;0,006262457;0,006262457;0,006262457;;;;
91;0,452710208;0,485771488;0,487565261;2682,91;91;0,452710208;0,485771488;0,487565261;2682,91;0,006719584;0,006719584;0,006719584;;;;
92;0,459460341;0,492521622;0,494315394;2701,02;92;0,459460341;0,492521622;0,494315394;2701,02;0,006750133;0,006750133;0,006750133;;;;
93;0,464887921;0,497949201;0,499742974;2715,68;93;0,464887921;0,497949201;0,499742974;2715,68;0,005427579;0,005427579;0,005427579;;;;
94;0,46952396;0,502585241;0,504379013;2728,27;94;0,46952396;0,502585241;0,504379013;2728,27;0,00463604;0,00463604;0,00463604;;;;
95;0,467174486;0,504934715;0,506728487;2734,68;95;0,467174486;0,504934715;0,506728487;2734,68;-0,002349474;0,002349474;0,002349474;;;;
96;0,468937032;0,506697261;0,508491034;2739,5;96;0,468937032;0,506697261;0,508491034;2739,5;0,001762546;0,001762546;0,001762546;;;;
97;0,472616536;0,510376765;0,512170537;2729,42;97;0,472616536;0,510376765;0,512170537;2729,42;0,003679504;0,003679504;0,003679504;;;;
98;0,492591475;0,530351704;0,532145477;2674,9;98;0,492591475;0,530351704;0,532145477;2674,9;0,01997494;0,01997494;0,01997494;;;;
99;0,502214265;0,539974494;0,541768267;2649,16;99;0,502214265;0,539974494;0,541768267;2649,16;0,00962279;0,00962279;0,00962279;;;;
100;0,515120243;0,552880472;0,554674244;2683,35;100;0,515120243;0,552880472;0,554674244;2683,35;0,012905978;0,012905978;0,012905978;;;;
101;0,518239478;0,555999707;0,55779348;2674,98;101;0,518239478;0,555999707;0,55779348;2674,98;0,003119235;0,003119235;0,003119235;;;;
102;0,526355427;0,564115655;0,565909428;2696,69;102;0,526355427;0,564115655;0,565909428;2696,69;0,008115949;0,008115949;0,008115949;;;;
103;0,532652035;0,570412264;0,572206036;2679,71;103;0,532652035;0,570412264;0,572206036;2679,71;0,006296608;0,006296608;0,006296608;;;;
104;0,53646588;0,574226109;0,576019882;2689,93;104;0,53646588;0,574226109;0,576019882;2689,93;0,003813846;0,003813846;0,003813846;;;;
