,0
229,3091.5364763673642
230,3063.731591579543
231,3097.1418630672424
232,3122.0439101471597
233,3111.2491106577286
234,3098.9375301710293
235,3111.2820781278474
236,3073.2751014754363
237,3116.777740636558
238,3126.1881817352037
239,3105.3824658055064
240,3003.0979171888303
241,3022.809202735954
242,2915.674410420097
243,2784.0479216013546
244,2771.275650316122
245,2824.6849932591836
246,2823.0375449727403
247,2815.7802186865215
248,2724.382960744807
249,2496.428232953869
250,2502.292592302855
251,2280.3348413470776
252,2319.648278942811
253,2266.05987972981
254,2218.496283014262
255,2100.595286818257
256,2270.2893517842404
257,2331.0216162509328
258,2250.8152632520955
259,2424.6456516860994
260,2440.9816901215577
261,2491.6481512508904
262,2399.6289213375344
263,2439.46944246277
264,2515.5993601318823
265,2473.0872704474255
266,2542.191799027776
267,2577.8106896079375
268,2621.1789364770602
269,2634.5608496645136
270,2675.191318692499
271,2699.7555852558494
272,2678.0565311679734
273,2631.9289675907116
274,2630.4013229004913
275,2499.5571763620396
276,2518.8207614786384
277,2532.7967231354833
278,2527.5835921483645
279,2490.4154761576583
280,2572.935908323431
281,2601.6802709922076
282,2562.336572368042
283,2571.045395592765
284,2613.64880882995
285,2663.3454713759916
286,2652.8838074266323
287,2627.0375328309897
288,2654.021617134268
289,2631.9503544323507
290,2638.763181075856
291,2641.9569086617134
292,2642.335865137035
293,2606.5525976010117
294,2590.45139699847
295,2595.014719944945
296,2697.9440412582403
297,2711.037045828323
298,2772.459928825432
299,2719.9127594134075
300,2708.3909822940063
301,2761.491121210193
302,2754.134930832002
303,2740.064506304781
304,2784.305911937932
305,2733.1408813747
306,2756.7380067345225
307,2793.7237785843354
308,2828.6550296466808
309,2766.6197203161933
310,2797.4713335728143
311,2793.5836144115196
312,2797.479477216697
313,2788.6375821862866
314,2740.3826578990884
315,2722.0173137561333
316,2751.598162258346
317,2736.7317590156067
318,2728.0966900082326
319,2760.725714512351
320,2760.288801457316
321,2796.793759165933
322,2758.705128684722
323,2760.0192851802785
324,2773.1851328224693
325,2741.187636825358
326,2789.3394113483155
327,2806.164967408028
328,2832.696227907393
329,2827.032402060129
330,2819.435112312718
331,2779.6113388978797
332,2804.3345388779603
333,2768.3873431689635
334,2742.7673514670055
335,2752.074285308601
336,2760.3166297160406
337,2773.309060309262
338,2806.3285806438694
339,2825.190172556668
340,2834.6913392386036
341,2855.387398346066
342,2864.5308728429018
343,2883.369209209247
344,2899.628318399889
345,2919.672322450479
346,2880.4876140024235
347,2915.256912328171
348,2927.349522618071
349,2938.9233191612952
350,2996.9636612494787
351,2985.4828086675575
352,2975.0610514727114
353,2962.6326417103855
354,3003.728410418123
355,3053.350096223499
356,3085.1716592756643
357,3061.218699833178
358,3055.06789379793
359,3049.8002791578942
360,3056.285352279239
361,2997.21841741312
362,3000.8339454919414
363,3030.843315479697
364,3029.906785096489
365,3051.9176673817396
366,3008.8953344180145
367,2981.784678308009
368,2965.277662375289
369,2972.3119503471507
370,2956.9621325927683
371,2931.1528309537866
372,2918.265897780705
373,2932.7296405021216
374,2887.8589076842272
375,2874.0172692555298
376,2897.933848939823
377,2910.4557957918737
378,2926.385245460612
379,2981.2461438392006
380,2974.7046433253176
381,2974.4611375637687
382,2953.9531223237773
383,2862.5619433533097
384,2886.01673232123
385,2916.4091535189486
386,2912.75020520808
387,2898.2551234421367
388,2926.775188602545
389,2908.8741872921646
390,2907.947912286781
391,2888.8060852793433
392,2851.2418781789643
393,2885.300444220242
394,2891.7359976639104
395,2843.2686116747136
396,2849.609446830739
397,2832.658361718368
398,2847.9329251922686
399,2831.2560014423193
400,2855.037715898598
401,2819.027801322515
402,2800.853337161471
403,2793.641793380047
404,2805.4445787698974
405,2786.813680731061
406,2803.258293919146
407,2819.314782495379
408,2784.9234963235053
409,2763.590018625193
410,2692.190305300495
411,2713.0686589463903
412,2691.6374590128726
413,2739.350222083494
414,2786.962493971622
415,2868.6767178094233
416,2897.374058935354
417,2988.7394115491043
418,2999.649550348405
419,3015.8886849119435
420,3026.8260142576855
421,3026.0676919807715
422,3081.52003830481
423,3052.507162269728
424,3082.0936715299667
425,3047.401137183853
426,3051.28787787166
427,3048.708395752162
428,3097.1967786976793
429,3135.126257665596
430,3139.8026065332824
431,3143.632672338347
432,3107.6544880376096
433,3149.9340908297786
434,3190.8293119327072
435,3161.9442261157437
436,3187.344734040411
437,3195.8370152167217
438,3178.8690715783227
439,3213.5885434219613
440,3258.7156338057625
441,3276.1193703559143
442,3257.663735151545
443,3247.8644660772457
444,3270.4147786064236
445,3285.225967597713
446,3273.0595101640906
447,3186.4010777381977
448,3240.316357444
449,3250.950145229665
450,3237.538510852468
451,3255.2528002578265
452,3259.958339974475
453,3275.441271623562
454,3292.156545660678
455,3349.462602033297
456,3360.920748449495
457,3373.058403246128
458,3466.5280627881084
459,3483.572365846899
460,3468.7799978946036
461,3470.8118905455135
462,3498.761574382837
463,3453.4861377962043
464,3473.359340687621
465,3444.3481178831616
466,3466.7651546948923
467,3425.206328858263
468,3394.0199897101256
469,3398.204355233342
